gene_symbol,logfc_dz:784,logfc_dz:785,mean_logfc,median_logfc,common_experiment,organism
DEFA1B,0.2968999445438385,0.2912394404411316,0.29406969249248505,0.29406969249248505,0.2912394404411316,human
RPL41,0.1801483929157257,0.2557468116283417,0.2179476022720337,0.2179476022720337,0.2557468116283417,human
DUSP22,0.1454617977142334,0.15137436985969543,0.14841808378696442,0.14841808378696442,0.15137436985969543,human
RPS4Y1,0.14137938618659973,0.05357280373573303,0.09747609496116638,0.09747609496116638,0.05357280373573303,human
UBC,0.13846620917320251,,0.13846620917320251,0.13846620917320251,,human
RPS3,0.13299383223056793,0.05260320007801056,0.09279851615428925,0.09279851615428925,0.05260320007801056,human
ACTG1,0.1307918131351471,0.08687721937894821,0.10883451625704765,0.10883451625704765,0.08687721937894821,human
RPS2,0.11252795904874802,0.07978885620832443,0.09615840762853622,0.09615840762853622,0.07978885620832443,human
RPL34,0.09776870906352997,0.035618823021650314,0.06669376604259014,0.06669376604259014,0.035618823021650314,human
B2M,0.09669481962919235,0.01104653812944889,0.05387067887932062,0.05387067887932062,0.01104653812944889,human
RPLP0P6,0.08860954642295837,0.02989874593913555,0.05925414618104696,0.05925414618104696,0.02989874593913555,human
RPS9,0.08791840821504593,0.028963351622223854,0.05844087991863489,0.05844087991863489,0.028963351622223854,human
RPLP0,0.08713838458061218,0.0523679219186306,0.06975315324962139,0.06975315324962139,0.0523679219186306,human
RPS10,0.07934289425611496,0.07063164561986923,0.0749872699379921,0.0749872699379921,0.07063164561986923,human
CD83,0.07885181903839111,,0.07885181903839111,0.07885181903839111,,human
BTN3A2,0.07625970244407654,0.01382824219763279,0.045043972320854664,0.045043972320854664,0.01382824219763279,human
RPL39,0.0760624036192894,0.02867189422249794,0.05236714892089367,0.05236714892089367,0.02867189422249794,human
SLC25A6,0.07363273948431015,0.04672698304057121,0.06017986126244068,0.06017986126244068,0.04672698304057121,human
RGS2,0.0732332095503807,0.03093634732067585,0.05208477843552828,0.05208477843552828,0.03093634732067585,human
CD69,0.0681307464838028,,0.0681307464838028,0.0681307464838028,,human
HLA-B,0.06809330731630325,-0.0467267781496048,0.010683264583349228,0.010683264583349228,-0.0467267781496048,human
LYZ,0.0675843358039856,0.1398027539253235,0.10369354486465454,0.10369354486465454,0.1398027539253235,human
